subgroup_code,subgroup_name,mapped_class_id,mapped_class,test_outcomes_n,correct_n,correct_percent,predicted_objective_n,predicted_objective_percent,predicted_semi_objective_n,predicted_semi_objective_percent,predicted_subjective_n,predicted_subjective_percent
1,All-cause mortality,0,Objective,313,299,95.52715654952077,299,95.52715654952077,13,4.15335463258786,1,0.3194888178913738
2,Obstetric outcomes,1,Semi-objective,399,377,94.48621553884712,4,1.0025062656641603,377,94.48621553884712,18,4.511278195488722
3,"Cause-specific mortality, major morbidity, or composite endpoints",1,Semi-objective,899,802,89.21023359288098,24,2.6696329254727473,802,89.21023359288098,73,8.120133481646274
4,Resource use or hospital stay,1,Semi-objective,386,341,88.3419689119171,0,0.0,341,88.34196891191709,45,11.658031088082902
5,Surgical or device success or failure,1,Semi-objective,102,98,96.07843137254902,1,0.9803921568627451,98,96.07843137254902,3,2.9411764705882355
6,Withdrawals,1,Semi-objective,162,153,94.44444444444444,0,0.0,153,94.44444444444444,9,5.555555555555555
7,Structure-related outcomes,1,Semi-objective,19,15,78.94736842105263,0,0.0,15,78.94736842105263,4,21.05263157894737
8,General physical health indicators,2,Subjective,8,5,62.5,0,0.0,3,37.5,5,62.5
9,Adverse events,2,Subjective,941,871,92.56110520722636,7,0.7438894792773645,63,6.695005313496281,871,92.56110520722636
10,Infections or new disease onset,2,Subjective,101,87,86.13861386138613,2,1.9801980198019802,12,11.881188118811881,87,86.13861386138613
11,Signs and symptoms,2,Subjective,774,719,92.89405684754522,2,0.25839793281653745,53,6.847545219638243,719,92.89405684754522
12,Pain,2,Subjective,36,35,97.22222222222221,0,0.0,1,2.7777777777777777,35,97.22222222222223
13,Quality of life or functioning,2,Subjective,199,177,88.94472361809045,0,0.0,22,11.055276381909549,177,88.94472361809045
14,Mental health indicators,2,Subjective,71,68,95.77464788732394,0,0.0,3,4.225352112676056,68,95.77464788732394
15,Biological markers,2,Subjective,36,30,83.33333333333334,0,0.0,6,16.666666666666668,30,83.33333333333333
16,Miscellaneous outcomes,2,Subjective,57,45,78.94736842105263,1,1.7543859649122806,11,19.29824561403509,45,78.94736842105263
