metric,estimate,ci_lower,ci_upper
accuracy,0.9153897401732178,0.9058345720444235,0.924868335725735
macro_f1,0.9151846159003059,0.9018784868709727,0.9271016867425258
weighted_f1,0.9154229974842241,0.9058630564997544,0.9248972033566653
kappa,0.84978603188701,0.8327481316433386,0.8663653248688385
Objective_precision,0.8794117647058823,0.8342303282536473,0.9204545454545454
Objective_recall,0.9552715654952076,0.9262813421828909,0.9804576124201531
Objective_f1,0.9157733537519142,0.8851340859493034,0.9423936932097936
Semi-objective_precision,0.9052204764318297,0.889573392324745,0.919697854106215
Semi-objective_recall,0.9079816980172852,0.8926904518617115,0.9224260998897079
Semi-objective_f1,0.9065989847715735,0.8950085181266788,0.9176636435081983
Subjective_precision,0.9301369863013699,0.9175205948940754,0.9418820081711363
Subjective_recall,0.9163292847503374,0.9030273730123192,0.9289688232371822
Subjective_f1,0.9231815091774302,0.9132220737188349,0.9326378453040939
